Name,ConflictStatus,Description,Notes,Publishable,InternalNotes,Stories,Ethics Doc Lines
Bank of China,Unclear,"The populist billionaire has other Canadian holdings, including $500,000 to $1 million investments in the Bank of Nova Scotia and the Toronto Dominion Bank, and $1 million to $5 million worth of shares in the Royal Bank of Canada. Such investments add to the array of connections Trump already has with foreign entities - including nine figure debts owed to German lender Deutsche Bank and China’s state-controlled Bank of China.",,To Discuss,,https://www.forbes.com/sites/jenniferwang/2016/11/29/trumps-stock-portfolio-big-oil-big-banks-and-more-foreign-connections/#30d204ea464e,
Kushner Midwest Partners 1,Active,,,To Discuss,,,"1228,1229,773,816,817,818,855,858,1022,1023,1024,1025,1049,1230,1257,1258,1259,1308,1312,1563,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record"
Thrive Partners III GP,Resolved,,,To Discuss,,,"unnamed record,unnamed record"
Travel Enterprises Management (Formerly Toys At Trump),Active,,,To Discuss,,,294
Dt Marks Jersey City,Active,,,To Discuss,,,100
Iroquois Properties Realty,Resolved,,,To Discuss,,,1059
Trump Eu Marks,Active,,,To Discuss,,,"345,346"
Unit 2502 Enterprises,Active,,,To Discuss,,,"552,553"
Saudi Arabia and Emirati Real Estate and Hotel Deals,Unclear,,,To Discuss,,https://www.cnn.com/2018/06/07/politics/court-case-emoluments-foreign-payments-federal-judge-trump-businesses/index.html,
JP Morgan,Active,,,To Discuss,,,"1125,1127,1129,1131"
Pier Village,Unclear,,,To Discuss,,https://mobile.nytimes.com/2018/03/10/business/trumps-kushners-hotel-deals.html?referer=https://amp-cnn-com.cdn.ampproject.org/c/s/amp.cnn.com/cnn/2018/03/11/politics/new-york-times-jared-kushner-donald-trump-hotel/index.html,
Lindenlawn Apartment Associates,Active,,,To Discuss,,,1264
New York NY Var Subser L 4,Unclear,,,To Discuss,,,1345
Bruckner Plaza Center,Resolved,,,To Discuss,,,"794,795,796,792,793,797,840,994,995,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record"
29 Second Avenue Realty,Active,,,To Discuss,,,701
Trump Classic Cars,Resolved,,,To Discuss,,,"327,326"
Dtw Venture,Active,,,To Discuss,,,"129,128"
Shell,Unclear,"Despite campaigning on the pledge of “taking on big businesses,” Trump own shares in big pharma companies including Pfizer, Merck, Celgene and GlaxoSmithKline; retailer Walmart, and consumer goods firms Procter & Gamble and Johnson & Johnson. He also hold stakes in a variety of multinational oil companies like Shell, Chevron and Exxon Mobil.",,To Discuss,,https://www.forbes.com/sites/jenniferwang/2016/11/29/trumps-stock-portfolio-big-oil-big-banks-and-more-foreign-connections/#30d204ea464e,
Ocean Development,Active,,,To Discuss,,,"186,597"
RCG Longview Debt Fund IV,Resolved,,,To Discuss,,,"1207,unnamed record"
