URL of Story,Headline,Media Outlet,Publication Date,Conflicts,Entered by,Pub Status,Internal Notes,Notes,Created,Internal Review,Conflict Review (HN)
https://www.washingtonpost.com/business/newly-empowered-dems-take-aim-at-trump-business-conflicts/2018/11/08/41d63b12-e318-11e8-ba30-a7ded04d8fac_story.html?utm_term=.00e0889e2f4c,Newly empowered Dems take aim at Trump business conflicts,Washington Post,2018-11-08,"Old Post Office Hotel,The Trump Organization",Heidi Johnson,Approved,"2-6-19 HN: The Trump International Hotel DC friendly name has been replaced by Old Post Office Hotel. I'm replacing the conflict tags for all stories, and deleting Trump International Hotel DC from the friendly name table.",,,,
https://www.washingtonpost.com/business/what-you-need-to-know-about-the-emoluments-clause/2018/11/07/aeb78d72-e26d-11e8-ba30-a7ded04d8fac_story.html?utm_term=.1af32a70cc1f,What You Need to Know About the Emoluments Clause,Washington Post,2018-11-07,"The Trump Organization,Old Post Office Hotel",Heidi Johnson,Approved,"2-6-19 HN: The Trump International Hotel DC friendly name has been replaced by Old Post Office Hotel. I'm replacing the conflict tags for all stories, and deleting Trump International Hotel DC from the friendly name table.",,,,
https://www.forbes.com/sites/chasewithorn/2018/10/24/what-you-dont-know-about-trump-the-huge-holes-in-disclosure-rules-and-how-they-could-be-fixed/amp/,What You (Don’t) Know About Trump: The Huge Holes In Disclosure Rules And How They Could Be Fixed,Forbes,2018-10-24,"Trump Tower Condominium,Trump Tower Commercial,The Trump Organization,Bank of China,""1290 Avenue Of The Americas, A Tenancy-In-Common"",Trump Las Vegas",Lynn Walsh,Approved,,,,,
https://abcnews.go.com/Politics/turkish-group-froze-plans-lavish-trump-hotel-event/story?id=58744546,Turkish group froze plans for lavish Trump Hotel event during talks on US pastor’s fate,ABC News,2018-10-26,"The Trump Organization,Old Post Office Hotel",Lynn Walsh,Approved,"2-6-19 HN: The Trump International Hotel DC friendly name has been replaced by Old Post Office Hotel. I'm replacing the conflict tags for all stories, and deleting Trump International Hotel DC from the friendly name table.",,,,
https://www.wnycstudios.org/story/trump-inc-rudy-inc,"Rudy, Inc.",WNYC,2018-10-31,"Rudy Giuliani,The Trump Organization",Lynn Walsh,Approved,,,,,
https://www.wsj.com/articles/donald-trump-played-central-role-in-hush-payoffs-to-stormy-daniels-and-karen-mcdougal-1541786601,Donald Trump Played Central Role in Hush Payoffs to Stormy Daniels and Karen McDougal,Wall Street Journal,2018-11-09,"Michael Cohen,Federal Election Commission",Lynn Walsh,Approved,,,,,
https://www.propublica.org/article/the-beleaguered-tenants-of-kushnerville,The Beleaguered Tenants of ‘Kushnerville’,ProPublica,2017-05-23,,Lynn Walsh,Approved,,,,,
https://www.wnycstudios.org/story/trump-inc-pump-trump-panama,Pump and Trump,WNYC,2018-10-17,"The Trump Organization,Trump International Hotels Management D/B/A Trump Hotel Collection,Trump Panama",Lynn Walsh,Approved,,,,,
https://amp.fastcompany.com/90252235/trump-endorsements-follow-in-the-wake-of-candidates-spending-money-at-his-properties,Trump endorsements follow in the wake of candidates spending money at his properties,Fast Company,2018-10-17,"The Trump Organization,Old Post Office Hotel,Trump International Golf Club",Lynn Walsh,Approved,"2-6-19 HN: The Trump International Hotel DC friendly name has been replaced by Old Post Office Hotel. I'm replacing the conflict tags for all stories, and deleting Trump International Hotel DC from the friendly name table.",,,,
https://abcnews.go.com/amp/Politics/mar-lago-member-150k-legal-defense-fund-trump/story?id=58516651,Mar-a-Lago member gives $150K to legal defense fund for Trump allies,ABC News,2018-10-15,Mar-A-Lago Club,Lynn Walsh,Approved,,,,,
https://www.forbes.com/sites/danalexander/2018/10/02/how-trump-is-tryingand-failingto-get-rich-off-his-presidency/#dbfb60e3b1aa,How Trump Is Trying—And Failing—To Get Rich Off His Presidency,Forbes,2018-10-02,The Trump Organization,Lynn Walsh,Approved,,,,,
https://www.latimes.com/business/la-fi-trump-scotland-golf-20181008-story.html?cid=dlvr.it,Trump is still losing millions at his golf resorts in Scotland,LA Times,2018-10-08,Trump Scotland (Aberdeen and Turnberry),Lynn Walsh,Approved,,,,,
https://www.nytimes.com/2018/10/13/business/jared-kushner-taxes.html,"Jared Kushner Paid No Federal Income Tax for Years, Documents Suggest",New York Times,2018-10-13,Internal Revenue Service,Lynn Walsh,Approved,,,,,
https://www.chicagobusiness.com/commercial-real-estate/kushner-selling-loop-office-tower,Kushner selling Loop office tower,Crain's Chicago Business,2018-10-09,The AT&T Building,Lynn Walsh,Approved,"2/6/2019 HN: I changed the conflict from 225 Randolph to The AT&T Building, which is a more accurate and descriptive friendly name than what we previously had for Kushner's Chicago-based real estate businesses.",,,requires review,
https://www.npr.org/2018/10/04/654587755/new-york-ag-presses-forward-with-suit-against-trumps-charitable-foundation,New York AG Presses Forward With Suit Against Trump's Charitable Foundation,NPR,2018-10-04,Donald J. Trump Foundation,Lynn Walsh,Approved,,,,,
https://www.propublica.org/article/trump-inc-podcast-the-business-of-silence/amp?__twitter_impression=true,"The Business of Silence — “Trump, Inc.” Podcast",ProPublica,2018-10-03,The Trump Organization,Lynn Walsh,Approved,,,,,
https://www.usatoday.com/story/news/2018/09/29/federal-judge-democrats-congress-can-sue-trump-emoluments-case/1470694002/,  Federal judge: Democrats in Congress can sue Trump in emoluments case,USA TODAY,2018-09-29,"The Trump Organization,U.S Department of Justice,Old Post Office Hotel",Lynn Walsh,Approved,"2-6-19 HN: The Trump International Hotel DC friendly name has been replaced by Old Post Office Hotel. I'm replacing the conflict tags for all stories, and deleting Trump International Hotel DC from the friendly name table.",,,,
https://www.wsj.com/livecoverage/campaign-wire-2018-midterms/card/1536780821,Admission to President's Fundraiser Tonight at Trump International Hotel Won't Come Cheap View image on Twitter,USA TODAY,2018-09-12,Old Post Office Hotel,Lynn Walsh,Approved,"2-6-19 HN: The Trump International Hotel DC friendly name has been replaced by Old Post Office Hotel. I'm replacing the conflict tags for all stories, and deleting Trump International Hotel DC from the friendly name table.",,,,
https://www.vox.com/platform/amp/world/2018/9/12/17764132/trump-russia-business-ties-mafia-putin-craig-unger%EF%BB%BF,Trump’s ties to the Russian mafia go back 3 decades,VOX,2018-11-19,The Trump Organization,Lynn Walsh,Approved,,,,,
https://therealdeal.com/2018/09/05/one-of-trump-towers-largest-commercial-tenants-inks-100k-sf-lease-on-sixth-ave/,One of Trump Tower’s largest commercial tenants inks 100K sf lease on Sixth Ave,The Real Deal,2018-09-05,"Trump Tower Condominium,Trump Tower Commercial,Bank of China",Lynn Walsh,Approved,,,,,
https://www.nbcnews.com/politics/politics-news/judge-allows-lawsuit-against-trump-foundation-proceed-rejects-trump-claim-n939526,"Judge allows lawsuit against Trump Foundation to proceed, rejects Trump claim that he can't be sued",NBC,2018-11-23,Donald J. Trump Foundation,Bob Goldstraw,Approved,,,,,
