Name,ConflictStatus,Story Count,Description,Notes,Publishable,InternalNotes,Stories,Ethics Doc Lines,Eric,Melania,Junior,Trump,Ivanka,Jared,Conflicting Entities,Internal Review,Draft Description
C-III Capital Partners,Resolved,0,,,Approved,connected to record w/ no ID,,"805,Unnamed record",,,,,,,,,
C-III Recovery Fund I,Resolved,0,,"*This may be another example of an entity getting a friendly name assigned and later on finding it's parent in another entity structure in the disclosure and the parent ends up being the friendly name. Either way, in this example, both entities are listed as Resolved in the Ethics Doc Lines for Jared.",Approved,,,804,,,,,,,,,
Cadre,Unclear,6,"A real estate technology startup co-founded and partly owned by White House senior adviser Jared Kushner. Kushner doesn't play an active role in Cadre's operations, company officials say when asked about the president's son-in-law. But he hasn't divested his Cadre stake",,Approved,NOTE: this isn't connected to a biz entity but it IS connected to a story. ,"""http://www.chicagotribune.com/business/national/ct-kushner-cadre-softbank-funds-20180522-story,amp.html"",https://www.apnews.com/41847c1548e34d0ba8c339836b86ed93,https://www.cnn.com/2018/12/12/politics/trump-kushner-opportunity-zone/index.html,https://www.washingtonpost.com/business/ap-ivanka-kushner-could-profit-from-tax-break-they-pushed/2018/12/11/a95d791a-fda5-11e8-a17e-162b712e8fc2_story.html?utm_term=.f25be6d735f8,https://amp.businessinsider.com/ivanka-trump-jared-kushner-net-worth-2019-1,https://www.forbes.com/sites/nathanvardi/2019/01/31/ryan-williams-30-started-a-revolutionary-800m-fintech-but-can-he-escape-his-kushner-trump-connection/amp/",,,,,,,checked,,,
Calamos Wealth Management,Resolved,0,,,Approved,connected to record w/ no ID,,Unnamed record,,,,,,,,,
Cambridge Who's Who,Resolved,2,"Donald Trump, Jr. is former Executive Director of Global Branding and Networking at Cambridge Who's Who, a vanity branding and global networking service widely accused of deceptive marketing.",,Approved,NOTE: this isn't connected to a biz entity but it IS connected to a story. ,"https://theestablishment.co/anatomy-of-a-scam-the-national-association-of-professional-women-94304c38fb35/,https://www.nytimes.com/2016/06/26/us/politics/cambridge-whos-who-trump-brand.html",,,,,checked,,,,,
Cap Cana,Unclear,3,Project being developed by the Trump Organization and the Cap Cana Group in the Dominican Republic.,,Approved,NOTE: this isn't connected to a biz entity but it IS connected to a story. ,"https://www.fastcompany.com/40526424/trump-organization-revives-project-in-dominican-republic-roiling-local-politics,http://www.newsweek.com/if-trump-organization-launches-dominican-republic-projects-it-could-be-grounds-801765,https://abcnews.go.com/Politics/democrats-probe-trump-organization-projects-dominican-republic-globe/story?id=59899325",,,,,checked,,,,,
Capital Group,Active,0,,,Approved,,,"975,974",,,,,,,,,
Capital One,Active,5,,,Approved,,"https://www.cnn.com/2019/04/24/politics/deutsche-bank-trump-records/index.html,https://www.washingtonpost.com/business/democrats-subpoena-banks-as-they-probe-trump-finances/2019/04/15/d23a73f8-5feb-11e9-bf24-db4b9fb62aa2_story.html?utm_term=.bdafd5ba005a,https://www.npr.org/2019/04/30/718597829/trump-sues-2-banks-to-block-democrats-from-investigating-his-finances,https://www.cnn.com/2019/04/29/politics/trump-lawsuit-capital-one/index.html,https://www.cnn.com/2019/05/13/politics/trump-subpoena-case/","Unnamed record,Unnamed record",,,,checked,,,,,
Caribusiness,Active,0,,,Approved,,,"28,27,26",,,,,,,,,
Caribusiness MRE,Active,0,,,Approved,,,,,,,,,,,,
Carl C. Icahn,Unclear,1,"Mr. Trump has forged relationships with powerful political figures in Indonesia, where such connections are crucial to pushing through big projects. That tangle of relationships includes an Indonesian business partner who aspires to high office; a powerful politician accused of trying to extort billions of dollars from an American mining company; as well as Mr. Trump’s adviser on regulatory issues, Carl C. Icahn, who is a top shareholder in the same mining company.",,Approved,NOTE: this isn't connected to a biz entity but it IS connected to a story. ,http://mobile.nytimes.com/2016/12/31/world/asia/indonesia-donald-trump-resort.html,,,,,checked,,,,,
Celgene,Unclear,1,"Despite campaigning on the pledge of “taking on big businesses,” Trump own shares in big pharma companies including Pfizer, Merck, Celgene and GlaxoSmithKline; retailer Walmart, and consumer goods firms Procter & Gamble and Johnson & Johnson. He also hold stakes in a variety of multinational oil companies like Shell, Chevron and Exxon Mobil.",,Approved,NOTE: this isn't connected to a biz entity but it IS connected to a story. ,https://www.forbes.com/sites/jenniferwang/2016/11/29/trumps-stock-portfolio-big-oil-big-banks-and-more-foreign-connections/#30d204ea464e,,,,,checked,,,,,
Centerview Capital,Resolved,0,,,Approved,,,"1211,Unnamed record,Unnamed record,1211 copy,1210",,,,,,,,,
Charleston Naval Hospital,Resolved,1,Donald Trump Jr. is a minority investor in the Charleston Naval Hospital.,,Approved,NOTE: this isn't connected to a biz entity but it IS connected to a story. ,https://www.postandcourier.com/business/titan-falls-a-second-time/article_0f46cf83-13f8-5f96-bc1e-8e97b8f43290.html,,,,checked,,,,,,
"Charlotte, NC",Resolved,0,,,Approved,,,"820,821",,,,,,,,,
Chatham Hill Associates,Active,1,,,Approved,connected to record w/ no ID,https://www.nj.com/news/index.ssf/2018/08/a_failed_new_york_investment_by_jared_kushner_gets.html,"823,826,827,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record",,,,,,checked,,,
Chelsea Hall,Active,0,,,Approved,,,29,,,,,,,,,
Cherry Pines Apartments,Active,0,,,Approved,,,"829,828",,,,,,,,,
Chevron,Unclear,1,"Despite campaigning on the pledge of “taking on big businesses,” Trump own shares in big pharma companies including Pfizer, Merck, Celgene and GlaxoSmithKline; retailer Walmart, and consumer goods firms Procter & Gamble and Johnson & Johnson. He also hold stakes in a variety of multinational oil companies like Shell, Chevron and Exxon Mobil.",,Approved,NOTE: this isn't connected to a biz entity but it IS connected to a story. ,https://www.forbes.com/sites/jenniferwang/2016/11/29/trumps-stock-portfolio-big-oil-big-banks-and-more-foreign-connections/#30d204ea464e,,,,,checked,,,,,
Chevy Chase Trust,Active,0,,,Approved,,,Unnamed record,,,,,,,,,
Chicago Unit Acquisition,Active,0,,,Approved,,,"30,Unnamed record",,,,,,,,,
Chicago Unit Acquisition LLC,Active,0,,,Approved,,,,,,,,,,,,
China State Construction Engineering Corp.,Unclear,5,"The Chinese government-owned company was awarded a $19.6 million contract for road and infrastructure work as part of the residential piece of Trump World Golf Club Dubai project called Akoya Oxygen, according to a news release dated Sunday. CSCEC was awarded a $32 million contract to build a six-lane road in early 2017, just as President Donald Trump was inaugurated and it was hired in February to construct one of the buildings at a cost of $163 million.",,Approved,NOTE: this isn't connected to a biz entity but it IS connected to a story. ,"https://www.mcclatchydc.com/news/politics-government/white-house/article213164779.html,https://www.damacproperties.com/en/media-centre/press-releases/damac-awards-infrastructure-works-contract-at-akoya-oxygen-to-cscec-as-construction-spend,http://www.mcclatchydc.com/news/politics-government/white-house/article172443417.html,http://www.constructionweekonline.com/article-49557-cscec-lands-19m-damac-contract-for-dubais-akoya-oxygen/,https://www.washingtonpost.com/amphtml/politics/as-tariffs-near-trumps-business-empire-includes-china-ties/2018/07/05/9bfd1056-7956-11e8-aeee-4d04c8ac6158_story.html",,,,,checked,,,,,
China Trademark,Active,5,,,Approved,5/16/2019 HN: I'm not sure this is the best name for this conflict? ,"https://www.cnn.com/2018/06/07/politics/court-case-emoluments-foreign-payments-federal-judge-trump-businesses/index.html,https://www.nytimes.com/2018/05/28/business/ivanka-trump-china-trademarks.html,https://www.cnn.com/2018/11/06/politics/ivanka-trump-trademarks/index.html,https://www.washingtonpost.com/world/asia_pacific/china-greenlights-large-batch-of-ivanka-trump-trademark-applications/2018/11/06/c085e88c-e1c8-11e8-a1c9-6afe99dddd92_story.html?utm_term=.8d0bb6058cd8,https://www.cbsnews.com/amp/news/ivanka-trump-receives-5-trademarks-from-china-amid-trade-talks/",31,,,,checked,checked,,,requires review,
Cisco Systems,Resolved,0,,,Approved,,,"830,831",,,,,,,,,
Citi Group,Active,1,,,Approved,5/16/2019 HN: I'm pretty sure we can connect this conflict to Kushner. Wasn't there a meeting with a Citi exec he arranged right before getting a big loan from them? ,https://www.cnn.com/2019/04/15/politics/deutsche-bank-subpoena/index.html,"833,832",,,,,,,,requires review,
Citibank,Unclear,1,,,Approved,NOTE: this isn't connected to a biz entity but it IS connected to a story. ,https://www.oge.gov/web/oge.nsf/All%20Documents/2C62A672E2AF5BAC8525825C00518004/$FILE/Letter%20to%20Congressman%20Krishnamoorthi.pdf?open,,,,,,,checked,,,
CK Bergen Associates,Active,0,,,Approved,connected to record w/ no ID,,"835,661,664,667,672,673,711,722,750,836,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record",,,,,,,,,
CK Livingston Esplanade,Resolved,0,,,Approved,,,"837,838",,,,,,,,,
Claremount IV Associates,Resolved,0,,,Approved,,,"841,842",,,,,,,,,
Clyde Hall,Active,0,,,Approved,,,32,,,,,,,,,
CNA Financial Corporation,Resolved,0,,,Approved,,,"843,844",,,,,,,,,
"Colonial Heights, LLC",Active,0,,,Approved,,,"846,845",,,,,,,,,
Columbia Windows,Resolved,0,,,Approved,,,"853,854",,,,,,,,,
Commerce Department,Unclear,1,,,Approved,NOTE: this isn't connected to a biz entity but it IS connected to a story. ,https://mobile.reuters.com/article/amp/idUSKCN1J12RP,,,,,checked,,,,,
Coronet Hall,Active,0,,,Approved,,,33,,,,,,,,,
Country Apartments,Active,0,,,Approved,,,34,,,,,,,,,
Country Investors,Active,0,,,Approved,,,35,,,,,,,,,
Country of Vietnam,Unclear,1,,,Approved,NOTE: this isn't connected to a biz entity but it IS connected to a story. ,https://www.propublica.org/article/trump-inc-podcast-vietnam-casino,,,,,checked,,,,,
Country Properties,Active,0,,,Approved,,,36,,,,,,,,,
CPW PT Partners,Active,0,,,Approved,,,,,,,,,,,,
Cranbury Building Associates,Resolved,0,,,Approved,,,"859,860",,,,,,,,,
Crippled America,Active,0,,,Approved,,,38,,,,,,,,,
D B Pace Acquisition,Active,0,,,Approved,,,"39,40,861",,,,,,,,,
Daewoo America,Active,0,,Partial parent of Trump Korea LLC,Approved,,,41,,,,,,,,,
DAMAC Properties,Unclear,4,Trump Organization partner in Trump World Golf Club Dubai project.,,Approved,NOTE: this isn't connected to a biz entity but it IS connected to a story. ,"https://www.mcclatchydc.com/news/politics-government/white-house/article213164779.html,https://www.damacproperties.com/en/media-centre/press-releases/damac-awards-infrastructure-works-contract-at-akoya-oxygen-to-cscec-as-construction-spend,http://www.mcclatchydc.com/news/politics-government/white-house/article172443417.html,http://www.constructionweekonline.com/article-49557-cscec-lands-19m-damac-contract-for-dubais-akoya-oxygen/",,,,,checked,,,,,
Dana-Farber Cancer Institute,Unclear,1,"An estimated 36% of the foundation’s money went to roughly 100 organizations promoting healthcare, the Forbes examination revealed. The Trump Foundation gave more than $465,000 to both the Dana-Farber Cancer Institute and Operation Smile, which offers free surgeries to children born with cleft palates in developing countries.",,Approved,NOTE: this isn't connected to a biz entity but it IS connected to a story. ,https://www.forbes.com/sites/danalexander/2017/02/09/where-did-trumps-foundation-donate-its-money-irs-documents-reveal-surprising-answers/#4d1fcb907b52,,,,,checked,,,,,
Dartmouth Village,Active,0,,,Approved,,,"863,862",,,,,,,,,
Deer Tree Building Associates,Active,0,,,Approved,,,"865,864",,,,,,,,,
Delaware Funds,Active,0,,,Approved,,,"867,869,866,868",,,,,,,,,
Department of Homeland Security,Unclear,5,,,Approved,NOTE: this isn't connected to a biz entity but it IS connected to a story. ,"https://www.propublica.org/article/political-and-taxpayer-spending-at-trump-properties-16-1-million,https://www.washingtonpost.com/national/taxpayers-cost-for-trump-jrs-business-trip-to-india-nearly-100k-documents-show/2018/11/15/1ea6153a-9f58-4718-83d8-dff80ad42f9e_story.html?utm_term=.896cb67f10b7,https://www.rollingstone.com/politics/politics-news/trump-mar-a-lago-new-year-eve-party-shutdown-773385/amp/,https://www.washingtonpost.com/politics/donald-trumps-demand-for-a-border-wall-shut-down-the-government-at-the-same-time-his-company-was-firing-undocumented-workers/2019/01/26/8cf75d66-20c5-11e9-8e21-59a09ff1e2a1_story.html?utm_term=.d0875a750cee ,https://www.cnn.com/2019/01/29/politics/trump-golf-clubs-undocumented-workers-congress/index.html",,,,,checked,,,,,
Deutsche Asset & Wealth Management,Active,0,,,Approved,,,,,,,,,,,,
