Description,FamilyMember,ConflictingEntity,Source1,Date1,Source2,Date2,Source3,Date3,Category,Notes,DateAddedOrEdited
"Former member/president of DJT Operations II LLC, in which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and is part of other entity structures. ",Donald Trump,DJT Operations II LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
The now-dormant or inactive Donald J Trump Enterprises II LLC is wholly owned by unnamed Trump family members. Any position with the company that he may hold or may have held in the past has not been disclosed.,Donald Trump,Donald J Trump Enterprises II LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
The now-inactive Donald J Trump Enterprises III LLC is wholly owned by unnamed Trump family members. Any position with the company that he may hold or may have held in the past has not been disclosed.,Donald Trump,Donald J Trump Enterprises III LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
The now-inactive Donald J Trump Enterprises LLC is wholly owned by unnamed Trump family members. Any position with the company that he may hold or may have held in the past has not been disclosed.,Donald Trump,Donald J Trump Enterprises LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former member/presdient and owner of DSN Licensing LLC (F/K/A Trump Marks Network LLC), which reportedly was dissolved on Nov. 9, 2016.",Donald Trump,DSN Licensing LLC,Office of Government Ethics,14-Jun-17,,,,,resolved,,5-Jul-17
"Former director/chairman, president and owner of DSN Licensing Member Corp. (F/K/A Trump Marks Network Member Inc.), which reportedly was dissolved on Nov. 9, 2016.",Donald Trump,DSN Licensing Member Corp. (F/K/A Trump Marks Network Member Inc.),Office of Government Ethics,14-Jun-17,,,,,resolved,,5-Jul-17
"Former member/president and owner of the now-dormant or inactive DT App Warrant Holding LLC, in which Pres. Trump retains an ownership interest. ",Donald Trump,DT App Warrant Holding LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former director/chairman/president and owner of the now-dormant or inactive DT App Warrant Holding Managing Member Corp., in which Pres. Trump retains an ownership interest. ",Donald Trump,DT App Warrant Holding Managing Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former president of DT Bali Golf Manager LLC, of which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or otherwise do not currently have valuable assets or create income.",Donald Trump,DT Bali Golf Manager LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former director/chairman/president of DT Bali Golf Manager Member Corp., of which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or otherwise do not currently have valuable assets or create income.",Donald Trump,DT Bali Golf Manager Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
